Washing Clothes Water – Summary of Results,,,,,,,
Mean ± SD of three replicate runs. RE% = removal efficiency relative to the untreated control.,,,,,,,
,,,,,,,
Parameter,Control,Sisal Fibre (Mean±SD),Sisal RE%,Banana Peel (Mean±SD),Banana RE%,Alum (Mean±SD),Alum RE%
pH,8,6.17 ± 0.17,—,6.03 ± 1.15,—,6.54 ± 0.06,—
Temperature (°C),21,18.71 ± 0.28,—,18.68 ± 0.14,—,18.53 ± 0.06,—
Electrical conductivity,6,4.31 ± 0.10,28.1,4.47 ± 0.06,25.5,4.24 ± 0.06,29.4
Turbidity (NTU),7,5.43 ± 0.12,22.4,5.48 ± 0.06,21.7,5.27 ± 0.21,24.7
TDS (mg/L),807,688.00 ± 9.61,14.7,779.44 ± 63.63,3.4,686.11 ± 5.54,15.0
TSS (mg/L),135.05,102.53 ± 11.58,24.1,110.95 ± 12.92,17.8,48.95 ± 57.49,63.8
BOD (mg/L),210,112.67 ± 0.27,46.3,115.01 ± 0.01,45.2,45.02 ± 57.96,78.6
COD (mg/L),125.01,112.05 ± 0.18,10.4,114.84 ± 2.03,8.1,110.67 ± 2.91,11.5
Calcium (mg/L),222.09,96.94 ± 1.08,56.4,98.17 ± 0.29,55.8,86.03 ± 1.00,61.3
Magnesium (mg/L),220.37,118.22 ± 4.55,46.4,168.93 ± 9.84,23.3,172.56 ± 52.78,21.7
Sodium (mg/L),200,214.56 ± 6.17,-7.3,218.55 ± 5.70,-9.3,199.11 ± 1.39,0.4
