"Kitchen Washing Water – One-way ANOVA across coagulants (Sisal Fibre, Banana Peel, Alum)",,,,,,,
Significant at p < 0.05 means at least one coagulant differs from the others for that parameter.,,,,,,,
,,,,,,,
Parameter,F statistic,p-value,Significant (p<0.05)?,,,,
pH,9.06,0.0154,Yes,,,,
Temperature (°C),6.57,0.0308,Yes,,,,
Electrical conductivity,11.59,0.0087,Yes,,,,
Turbidity (NTU),29.3,0.0008,Yes,,,,
TDS (mg/L),0.76,0.508,No,,,,
TSS (mg/L),1.85,0.2368,No,,,,
BOD (mg/L),1.65,0.2685,No,,,,
COD (mg/L),1.05,0.406,No,,,,
Calcium (mg/L),0.87,0.4675,No,,,,
Magnesium (mg/L),3.56,0.0958,No,,,,
Sodium (mg/L),1.44,0.3082,No,,,,
,,,,,,,
,,,,,,,
Tukey HSD post-hoc test (only run where ANOVA was significant),,,,,,,
Parameter,Group 1,Group 2,Mean diff,p-adj,Lower,Upper,Reject H0?
pH,Alum,Banana,-0.4,0.0165,-0.706,-0.094,True
pH,Alum,Sisal,-0.0767,0.7343,-0.3827,0.2294,False
pH,Banana,Sisal,0.3233,0.0405,0.0173,0.6294,True
Temperature (°C),Alum,Banana,0.5767,0.0398,0.033,1.1203,True
Temperature (°C),Alum,Sisal,0.5333,0.0537,-0.0103,1.077,False
Temperature (°C),Banana,Sisal,-0.0433,0.9677,-0.587,0.5003,False
Electrical conductivity,Alum,Banana,1.15,0.0072,0.4152,1.8848,True
Electrical conductivity,Alum,Sisal,0.5,0.1727,-0.2348,1.2348,False
Electrical conductivity,Banana,Sisal,-0.65,0.0778,-1.3848,0.0848,False
Turbidity (NTU),Alum,Banana,1.27,0.0007,0.7588,1.7812,True
Turbidity (NTU),Alum,Sisal,0.5333,0.0425,0.0221,1.0446,True
Turbidity (NTU),Banana,Sisal,-0.7367,0.0106,-1.2479,-0.2254,True
