Kitchen Washing Water – Summary of Results,,,,,,,
Mean ± SD of three replicate runs. RE% = removal efficiency relative to the untreated control.,,,,,,,
,,,,,,,
Parameter,Control,Sisal Fibre (Mean±SD),Sisal RE%,Banana Peel (Mean±SD),Banana RE%,Alum (Mean±SD),Alum RE%
pH,9.33,6.20 ± 0.20,—,5.88 ± 0.04,—,6.28 ± 0.06,—
Temperature (°C),22,18.96 ± 0.08,—,19.00 ± 0.00,—,18.42 ± 0.37,—
Electrical conductivity,8,5.11 ± 0.43,36.1,5.76 ± 0.25,28.0,4.61 ± 0.12,42.3
Turbidity (NTU),7.5,6.23 ± 0.25,16.9,6.97 ± 0.05,7.1,5.70 ± 0.24,24.0
TDS (mg/L),800.01,545.05 ± 67.77,31.9,605.11 ± 5.96,24.4,522.78 ± 129.84,34.7
TSS (mg/L),315,130.00 ± 18.69,58.7,103.87 ± 57.20,67.0,62.23 ± 45.45,80.2
BOD (mg/L),226.99,92.46 ± 6.72,59.3,83.81 ± 5.41,63.1,57.60 ± 41.51,74.6
COD (mg/L),294.98,141.39 ± 61.24,52.1,201.48 ± 57.61,31.7,145.56 ± 50.67,50.7
Calcium (mg/L),225,91.30 ± 1.78,59.4,67.27 ± 41.70,70.1,87.63 ± 0.54,61.1
Magnesium (mg/L),280,84.33 ± 5.86,69.9,86.01 ± 5.30,69.3,162.56 ± 70.65,41.9
Sodium (mg/L),299.7,153.55 ± 31.86,48.8,326.96 ± 222.90,-9.1,197.78 ± 0.69,34.0
