ALUM,,,,
Parameter,Result – Set 1,Result – Set 2,Result – Set 3,Average
pH,6.31,6.31,6.21,6.276666666666666
Temperature (°C),18.6,18,18.67,18.423333333333336
Electrical conductivity,4.5,4.6,4.74,4.613333333333333
Turbidity (NTU),5.5,5.63,5.97,5.699999999999999
TDS (mg/L),620,573,375.33,522.7766666666666
TSS (mg/L),15.02,105.68,65.99,62.23
BOD (mg/L),11.04,90.72,71.05,57.60333333333333
COD (mg/L),114,118.67,204,145.55666666666667
Calcium (mg/L),87.02,88.03,87.84,87.63
Magnesium (mg/L),201.67,205,81,162.55666666666664
Sodium (mg/L),197,198.33,198,197.77666666666667
