Banana Peel,,,,
Parameter,Result – Set 1,Result – Set 2,Result – Set 3,Average
pH,7.28,5.82,5,6.033333333333334
Temperature (°C),18.53,18.7,18.8,18.676666666666666
Electrical conductivity,4.5,4.51,4.4,4.47
Turbidity (NTU),5.53,5.41,5.5,5.48
TDS (mg/L),830,800.33,708,779.4433333333333
TSS (mg/L),118.79,118.01,96.04,110.94666666666667
BOD (mg/L),115,115.02,115.01,115.00999999999999
COD (mg/L),114.53,112.99,117.01,114.84333333333332
Calcium (mg/L),97.98,98.51,98.03,98.17333333333333
Magnesium (mg/L),158.47,178,170.33,168.93333333333337
Sodium (mg/L),221.33,222.33,212,218.55333333333337
