BANANA PEEL,,,,
Parameter,Result – Set 1,Result – Set 2,Result – Set 3,Average
pH,5.85,5.92,5.86,5.876666666666666
Temperature (°C),19,19,19,19
Electrical conductivity,5.99,5.5,5.8,5.763333333333333
Turbidity (NTU),7,6.91,7,6.97
TDS (mg/L),601.67,601.67,612,605.1133333333333
TSS (mg/L),70.69,169.92,71,103.87
BOD (mg/L),90,81.44,80,83.81333333333333
COD (mg/L),236.78,135,232.66,201.48
Calcium (mg/L),91.01,19.12,91.68,67.27
Magnesium (mg/L),88.02,80,90,86.00666666666666
Sodium (mg/L),195.88,200.67,584.32,326.95666666666665
