SISAL FIBRE,,,,
Parameter,Result – Set 1,Result – Set 2,Result – Set 3,Average
pH,6.17,6,6.34,6.169999999999999
Temperature (°C),19.03,18.5,18.6,18.71
Electrical conductivity,4.21,4.4,4.33,4.3133333333333335
Turbidity (NTU),5.3,5.5,5.5,5.433333333333334
TDS (mg/L),679.33,698.33,686.33,687.9966666666668
TSS (mg/L),115.9,95.99,95.71,102.53333333333332
BOD (mg/L),112.98,112.54,112.48,112.66666666666667
COD (mg/L),111.98,112.25,111.92,112.05000000000001
Calcium (mg/L),97.67,95.7,97.45,96.94
Magnesium (mg/L),120.33,113,121.33,118.21999999999998
Sodium (mg/L),221.67,210.67,211.33,214.55666666666664
