SISAL FIBRE,,,,
Parameter,Result – Set 1,Result – Set 2,Result – Set 3,Average
pH,6.4,6,6.2,6.2
Temperature (°C),19,19,18.87,18.956666666666667
Electrical conductivity,5.6,4.8,4.94,5.113333333333333
Turbidity (NTU),6.5,6.2,6,6.233333333333333
TDS (mg/L),623,500.14,512,545.0466666666666
TSS (mg/L),150,112.99,127,129.99666666666667
BOD (mg/L),85,94.37,98.02,92.46333333333332
COD (mg/L),211.85,100.99,111.33,141.39
Calcium (mg/L),90.56,93.33,90,91.29666666666667
Magnesium (mg/L),80,82,91,84.33333333333333
Sodium (mg/L),190.34,135,135.31,153.55
